"Group Name","Group DistinguishedName","Member DistinguishedName","Action","Added Age (Days)","Removed Age (Days)","Added Date","Removed Date","ftimeCreated","ftimeDeleted"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=nested group,OU=workstation_test_OU,DC=LAB,DC=local","Added","0",,"9/1/2020 6:30:33 PM",,"2020-09-01T22:30:33Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=ERIN_GIBBS,OU=T0-Permissions,OU=Tier 0,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=REYES_JARVIS,OU=BDE,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=MediaAdmin,CN=Managed Service Accounts,DC=LAB,DC=local","Added","22",,"8/10/2020 8:44:11 PM",,"2020-08-11T00:44:11Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=Domain Admins,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=Enterprise Admins,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=admin1,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=admin,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Administrators","CN=Administrators,CN=Builtin,DC=LAB,DC=local","CN=Administrator,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=WILBURN_MCLAUGHLIN,OU=Testing,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
