"Group Name","Member UserName","Member Name","AccountType","Member AdminCount"
"Domain Users","MORGAN_CAMPOS","MORGAN_CAMPOS","user",""
"MI-alm-distlist","MORGAN_CAMPOS","MORGAN_CAMPOS","user",""
"SA-urigoiena-distlist","MORGAN_CAMPOS","MORGAN_CAMPOS","user",""
"Domain Users","ELINOR_MCCOY","ELINOR_MCCOY","user",""
"Domain Users","4299612265SA","4299612265SA","user",""
"MI-mia-distlist","4299612265SA","4299612265SA","user",""
"WseRemoteWebAccessUsers","4299612265SA","4299612265SA","user",""
"Domain Users","Administrator","Administrator","user","1"
"IR-zay-distlist","Administrator","Administrator","user","1"
"TO-160-distlist","Administrator","Administrator","user","1"
"AP-152898251-distlist","Administrator","Administrator","user","1"
"HE-140-distlist","Administrator","Administrator","user","1"
"ER-KYT-admingroup","Administrator","Administrator","user","1"
"SH-mictlante-distlist","Administrator","Administrator","user","1"
"GW-tivogliob-admingroup","Administrator","Administrator","user","1"
"CL-est-distlist","Administrator","Administrator","user","1"
"WseInvisibleToDashboard","Administrator","Administrator","user","1"
"Group Policy Creator Owners","Administrator","Administrator","user","1"
"Domain Admins","Administrator","Administrator","user","1"
"Enterprise Admins","Administrator","Administrator","user","1"
"Schema Admins","Administrator","Administrator","user","1"
"Administrators","Administrator","Administrator","user","1"
"Domain Users","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"21-dulcesito-admingroup","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"BU-mil-distlist","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"LE-azu-distlist","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"ZA-PEQ-distlist","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"ED-110-admingroup","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"JE-pal-distlist","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"41-mam-admingroup","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"AN-moisesalo-distlist","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"WseAlertAdministrators","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"WseAllowHomePageLinks","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"WseAllowShareAccess","ESPERANZA_RODRIGUEZ","ESPERANZA_RODRIGUEZ","user",""
"Domain Users","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"14-bilbao227-distlist","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"SH-alondra20-distlist","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"JA-sup-distlist","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"TR-alt-distlist","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"IS-040-distlist","DARLENE_DONOVAN","DARLENE_DONOVAN","user",""
"Domain Users","TRENTON_BEAN","TRENTON_BEAN","user",""
"LA-shop_y_tu-distlist","TRENTON_BEAN","TRENTON_BEAN","user",""
"BU-mil-distlist","TRENTON_BEAN","TRENTON_BEAN","user",""
"FO-zai-admingroup","TRENTON_BEAN","TRENTON_BEAN","user",""
"LE-namidnmai-distlist","TRENTON_BEAN","TRENTON_BEAN","user",""
"DO-KIL-distlist","TRENTON_BEAN","TRENTON_BEAN","user",""
