"UserName","Name","Enabled","AdminCount","Must Change Password at Logon","Cannot Change Password","Password Never Expires","Reversible Password Encryption","Smartcard Logon Required","Delegation Permitted","Kerberos DES Only","Kerberos RC4","Kerberos AES-128bit","Kerberos AES-256bit","Does Not Require Pre Auth","Never Logged in","Logon Age (days)","Password Age (days)","Dormant (> 90 days)","Password Age (> 180 days)","Account Locked Out","Password Expired","Password Not Required","Delegation Type","Delegation Protocol","Delegation Services","Logon Workstations","Primary GroupID","SID","SIDHistory","HasSPN","Description","Title","Department","Company","Manager","Info","Last Logon Date","Password LastSet","Account Expiration Date","Account Expiration (days)","Mobile","Email","HomeDirectory","ProfilePath","ScriptPath","UserAccountControl","First Name","Middle Name","Last Name","Country","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Administrator","Administrator","False","1","False","False","True","False","False","True","False",,,,"False","True",,"22","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-500","","False","Built-in account for administering the computer/domain","","","","","",,"8/10/2020 8:34:54 PM",,,"","",,,,"66050","","","","","8/10/2020 8:36:41 PM","8/10/2020 8:52:24 PM","CN=Administrator,CN=Users,DC=LAB,DC=local","LAB.local/Users/Administrator"
"MORGAN_CAMPOS","MORGAN_CAMPOS","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1398","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:23:13 PM",,,"","",,,,"512","","","MORGAN_CAMPOS","","8/27/2020 7:23:13 PM","8/27/2020 7:23:13 PM","CN=MORGAN_CAMPOS,OU=ServiceAccounts,OU=TST,OU=Tier 2,DC=LAB,DC=local","LAB.local/Tier 2/TST/ServiceAccounts/MORGAN_CAMPOS"
"JOHNIE_WEBER","JOHNIE_WEBER","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1682","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:23:46 PM",,,"","",,,,"512","","","JOHNIE_WEBER","","8/27/2020 7:23:46 PM","8/27/2020 7:23:46 PM","CN=JOHNIE_WEBER,OU=Test,OU=FSR,OU=Tier 1,DC=LAB,DC=local","LAB.local/Tier 1/FSR/Test/JOHNIE_WEBER"
"Guest","Guest","False",,"False","False","True","False","False","True","False",,,,"False","True",,,"False","False","False","False","True",,,,,"514","S-1-5-21-3291825774-2351178969-2332353497-501","","False","Built-in account for guest access to the computer/domain","","","","","",,,,,"","",,,,"66082","","","","","8/10/2020 8:36:41 PM","8/10/2020 8:36:41 PM","CN=Guest,CN=Users,DC=LAB,DC=local","LAB.local/Users/Guest"
"GERMAN_VARGAS","GERMAN_VARGAS","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1966","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:24:35 PM",,,"","",,,,"512","","","GERMAN_VARGAS","","8/27/2020 7:24:35 PM","8/27/2020 7:24:35 PM","CN=GERMAN_VARGAS,OU=ServiceAccounts,OU=ESM,OU=Tier 1,DC=LAB,DC=local","LAB.local/Tier 1/ESM/ServiceAccounts/GERMAN_VARGAS"
"MINERVA_STEELE","MINERVA_STEELE","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-2250","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:25:15 PM",,,"","",,,,"512","","","MINERVA_STEELE","","8/27/2020 7:25:15 PM","8/27/2020 7:25:16 PM","CN=MINERVA_STEELE,OU=OGC,OU=Tier 1,DC=LAB,DC=local","LAB.local/Tier 1/OGC/MINERVA_STEELE"
"4299612265SA","4299612265SA","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1399","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:23:13 PM",,,"","",,,,"512","","","4299612265SA","","8/27/2020 7:23:13 PM","8/27/2020 7:23:13 PM","CN=4299612265SA,OU=ServiceAccounts,OU=TST,OU=Tier 1,DC=LAB,DC=local","LAB.local/Tier 1/TST/ServiceAccounts/4299612265SA"
"KAREEM_GUTIERREZ","KAREEM_GUTIERREZ","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1683","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:23:46 PM",,,"","",,,,"512","","","KAREEM_GUTIERREZ","","8/27/2020 7:23:46 PM","8/27/2020 7:23:46 PM","CN=KAREEM_GUTIERREZ,OU=ITS,OU=Tier 2,DC=LAB,DC=local","LAB.local/Tier 2/ITS/KAREEM_GUTIERREZ"
"STACEY_TATE","STACEY_TATE","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-2534","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:25:48 PM",,,"","",,,,"512","","","STACEY_TATE","","8/27/2020 7:25:48 PM","8/27/2020 7:25:48 PM","CN=STACEY_TATE,OU=OGC,OU=Stage,DC=LAB,DC=local","LAB.local/Stage/OGC/STACEY_TATE"
"DefaultAccount","DefaultAccount","False",,"False","False","True","False","False","True","False",,,,"False","True",,,"False","False","False","False","True",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-503","","False","A user account managed by the system.","","","","","",,,,,"","",,,,"66082","","","","","8/10/2020 8:36:41 PM","8/10/2020 8:36:41 PM","CN=DefaultAccount,CN=Users,DC=LAB,DC=local","LAB.local/Users/DefaultAccount"
"BRIGITTE_HORN","BRIGITTE_HORN","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-2818","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:26:20 PM",,,"","",,,,"512","","","BRIGITTE_HORN","","8/27/2020 7:26:20 PM","8/27/2020 7:26:20 PM","CN=BRIGITTE_HORN,OU=T2-Roles,OU=Tier 2,OU=Admin,DC=LAB,DC=local","LAB.local/Admin/Tier 2/T2-Roles/BRIGITTE_HORN"
"CONCEPCION_BLAIR","CONCEPCION_BLAIR","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-1967","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:24:35 PM",,,"","",,,,"512","","","CONCEPCION_BLAIR","","8/27/2020 7:24:35 PM","8/27/2020 7:24:35 PM","CN=CONCEPCION_BLAIR,OU=Devices,OU=AWS,OU=Stage,DC=LAB,DC=local","LAB.local/Stage/AWS/Devices/CONCEPCION_BLAIR"
"KENYA_DRAKE","KENYA_DRAKE","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-3102","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:26:52 PM",,,"","",,,,"512","","","KENYA_DRAKE","","8/27/2020 7:26:52 PM","8/27/2020 7:26:52 PM","CN=KENYA_DRAKE,OU=Domain Controllers,DC=LAB,DC=local","LAB.local/Domain Controllers/KENYA_DRAKE"
"CATHRYN_JIMENEZ","CATHRYN_JIMENEZ","True",,"False","False","False","False","False","True","False",,,,"False","True",,"5","False","False","False","False","False",,,,,"513","S-1-5-21-3291825774-2351178969-2332353497-2251","","False","Created with secframe.com/badblood.","","","","","",,"8/27/2020 7:25:16 PM",,,"","",,,,"512","","","CATHRYN_JIMENEZ","","8/27/2020 7:25:16 PM","8/27/2020 7:25:16 PM","CN=CATHRYN_JIMENEZ,OU=Test,OU=GOO,OU=Stage,DC=LAB,DC=local","LAB.local/Stage/GOO/Test/CATHRYN_JIMENEZ"
